32,12,2,3
34,2,2,2
35,8,2,1
35,15,2,3
36,3,2,1
36,5,2,4
36,14,2,2
37,13,2,1
37,14,2,11
38,11,2,1
38,13,2,2
39,5,2,2
40,3,2,1
48,8,2,3
50,6,2,1
51,9,2,1
51,10,2,1
52,1,2,4
54,7,2,1
55,15,2,2
57,6,2,5
58,15,2,3
60,12,2,53
62,0,2,6
62,13,2,3
===== 22 =====
2,2,2,1
4,8,2,4
5,4,2,1
6,0,2,1
12,10,2,2
13,4,2,1
14,0,2,1
15,15,2,5
16,0,2,2
16,2,2,2
16,11,2,1
18,11,2,1
21,13,2,1
22,0,2,24
23,4,2,1
23,6,2,2
24,8,2,1
25,7,2,2
25,8,2,4
26,9,2,3
27,9,2,2
28,11,2,254
31,4,2,16
31,15,2,5
34,5,2,1
35,8,2,2
35,15,2,2
36,6,2,1
36,11,2,1
37,14,2,12
38,13,2,1
39,5,2,4
41,12,2,1
44,2,2,1
44,4,2,3
46,3,2,1
51,6,2,5
51,10,2,1
52,13,2,2
56,4,2,1
56,12,2,3
58,5,2,1
60,12,2,57
61,14,2,2
62,0,2,1
62,2,2,1
62,13,2,2
===== 23 =====
4,6,2,1
5,4,2,3
6,0,2,1
8,6,2,1
8,8,2,6
9,11,2,2
10,5,2,1
11,3,2,1
12,2,2,1
14,0,2,1
14,2,2,3
14,9,2,1
15,4,2,1
15,5,2,3
15,15,2,3
16,2,2,1
16,10,2,4
16,11,2,1
18,2,2,2
18,11,2,2
19,14,2,3
21,1,2,1
22,0,2,15
23,7,2,1
24,8,2,1
25,14,2,1
27,6,2,1
28,11,2,254
29,4,2,1
29,6,2,1
30,8,2,2
31,4,2,13
32,2,2,3
34,5,2,2
35,8,2,4
35,15,2,1
36,6,2,1
36,12,2,3
37,1,2,2
37,11,2,2
37,14,2,7
38,8,2,2
38,13,2,1
43,8,2,4
43,15,2,3
44,5,2,1
45,8,2,1
48,14,2,1
50,3,2,1
51,10,2,1
52,1,2,1
57,6,2,1
60,12,2,52
61,6,2,1
62,0,2,1
62,13,2,2
===== 24 =====
2,14,2,1
3,0,2,1
3,4,2,1
5,4,2,1
9,12,2,2
10,0,2,4
10,5,2,1
12,6,2,2
14,1,2,1
15,4,2,1
15,15,2,2
16,5,2,3
17,13,2,1
18,11,2,5
18,15,2,2
20,5,2,1
22,0,2,22
23,3,2,1
23,4,2,2
23,7,2,1
24,8,2,1
24,9,2,1
24,14,2,1
26,1,2,1
27,6,2,1
28,11,2,254
30,1,2,2
31,4,2,8
32,7,2,1
33,2,2,1
33,8,2,1
34,5,2,2
34,7,2,2
35,5,2,1
35,8,2,3
35,13,2,1
35,15,2,3
36,5,2,1
36,6,2,1
37,4,2,1
37,13,2,1
37,14,2,12
38,13,2,2
40,3,2,1
41,7,2,4
44,2,2,1
44,5,2,1
48,6,2,1
48,8,2,5
49,11,2,1
49,12,2,1
50,6,2,1
51,10,2,3
52,1,2,1
58,11,2,3
59,7,2,2
60,12,2,50
62,13,2,2
===== 25 =====
0,10,2,3
2,2,2,1
5,4,2,2
6,0,2,1
6,11,2,2
9,8,2,1
14,0,2,1
15,1,2,1
15,13,2,2
15,15,2,6
16,11,2,1
17,12,2,1
17,13,2,1
18,11,2,3
19,10,2,1
22,0,2,28
23,4,2,1
23,7,2,1
24,2,2,3
24,8,2,1
24,14,2,1
27,9,2,1
28,11,2,254
29,6,2,1
29,11,2,1
31,4,2,14
32,4,2,2
33,8,2,1
35,8,2,4
35,15,2,5
36,6,2,2
36,11,2,1
37,0,2,1
37,14,2,10
37,15,2,1
38,13,2,1
40,3,2,1
40,14,2,6
41,0,2,3
41,12,2,1
43,4,2,1
45,14,2,1
50,5,2,3
51,0,2,1
51,10,2,1
52,0,2,4
54,10,2,2
60,0,2,1
60,9,2,1
60,12,2,48
62,13,2,4
===== 26 =====
0,14,2,2
3,6,2,4
4,5,2,3
5,4,2,1
11,3,2,1
11,8,2,1
14,0,2,1
15,3,2,1
15,4,2,2
15,15,2,3
16,9,2,1
17,13,2,1
18,4,2,2
18,11,2,1
18,13,2,5
21,10,2,1
22,0,2,23
22,6,2,1
22,12,2,2
23,2,2,2
23,4,2,1
23,7,2,4
23,11,2,1
24,1,2,4
24,8,2,1
24,12,2,1
25,14,2,1
27,6,2,2
28,0,2,1
28,11,2,254
28,12,2,7
30,4,2,8
31,4,2,12
32,0,2,1
34,7,2,1
35,8,2,2
36,5,2,1
36,6,2,1
37,13,2,1
37,14,2,18
37,15,2,5
38,13,2,2
43,4,2,1
47,3,2,1
49,11,2,1
51,10,2,2
53,3,2,2
54,6,2,2
56,6,2,2
56,12,2,1
57,6,2,3
58,5,2,2
60,12,2,32
62,13,2,3
===== 27 =====
0,10,2,2
2,2,2,1
5,15,2,1
6,0,2,1
8,6,2,1
10,5,2,1
10,14,2,2
13,7,2,5
13,15,2,6
14,0,2,2
15,3,2,1
15,4,2,1
15,15,2,7
17,4,2,2
17,13,2,1
18,11,2,2
22,0,2,28
23,4,2,1
23,7,2,1
23,15,2,2
24,8,2,1
25,12,2,1
26,1,2,6
28,11,2,254
29,4,2,10
31,4,2,13
32,0,2,1
35,4,2,1
35,8,2,2
35,15,2,1
36,6,2,1
36,11,2,1
37,4,2,1
37,14,2,18
38,13,2,1
40,12,2,3
40,14,2,3
41,2,2,1
41,12,2,1
43,8,2,2
43,9,2,7
44,2,2,1
44,7,2,2
46,5,2,1
49,11,2,1
50,10,2,1
51,10,2,2
52,6,2,2
53,13,2,1
55,3,2,2
60,12,2,52
61,7,2,1
62,13,2,3
===== 28 =====
1,2,2,1
6,0,2,2
6,6,2,4
11,3,2,1
12,2,2,4
14,0,2,1
14,4,2,10
15,15,2,3
16,11,2,1
17,1,2,2
17,13,2,1
18,11,2,2
19,11,2,2
20,5,2,7
20,14,2,1
21,10,2,1
21,14,2,1
22,0,2,23
23,4,2,1
23,11,2,2
24,8,2,1
25,12,2,1
25,13,2,4
25,14,2,1
26,10,2,1
27,0,2,5
27,9,2,1
28,11,2,254
30,7,2,1
31,4,2,15
35,8,2,1
36,6,2,2
37,0,2,4
37,8,2,5
37,14,2,14
37,15,2,4
38,13,2,1
39,2,2,2
39,4,2,1
40,12,2,3
41,12,2,5
44,2,2,1
46,2,2,5
46,7,2,1
49,11,2,1
50,6,2,1
51,10,2,1
52,1,2,1
53,5,2,3
56,12,2,1
59,1,2,2
60,12,2,49
62,13,2,3
63,0,2,2
===== 29 =====
0,10,2,1
2,15,2,2
3,2,2,1
5,12,2,2
9,7,2,1
9,8,2,1
10,5,2,1
11,2,2,2
11,13,2,1
11,15,2,4
15,15,2,4
16,1,2,1
17,9,2,1
17,12,2,2
17,13,2,1
18,11,2,3
22,0,2,32
23,4,2,2
24,14,2,1
28,11,2,254
30,12,2,4
31,4,2,9
31,14,2,1
31,15,2,1
35,8,2,4
35,10,2,4
36,6,2,2
37,13,2,1
37,14,2,19
38,1,2,2
38,13,2,1
39,12,2,1
39,14,2,3
40,13,2,5
41,9,2,1
41,12,2,1
44,2,2,1
44,4,2,1
44,5,2,1
49,1,2,1
49,5,2,1
50,12,2,1
51,10,2,1
56,12,2,1
57,6,2,1
60,9,2,2
60,12,2,55
62,6,2,1
62,13,2,3
63,11,2,2
===== 30 =====
0,1,2,2
0,2,2,1
3,8,2,2
5,15,2,1
6,0,2,1
11,4,2,1
12,2,2,1
12,12,2,2
14,9,2,1
15,4,2,1
15,15,2,4
17,12,2,1
17,13,2,1
18,11,2,5
20,5,2,1
21,2,2,1
22,0,2,28
22,15,2,1
23,4,2,2
23,7,2,2
24,9,2,1
25,3,2,1
25,14,2,1
27,10,2,2
28,0,2,1
28,11,2,254
29,6,2,1
29,9,2,3
31,4,2,14
33,14,2,2
35,4,2,1
35,8,2,2
35,15,2,4
